log_num,input size,layers,number epochs,step per epoch,accuracy,loss,validation accuracy,validation loss
1,40,[32 64 128 256],10,100,0.81532,0.457347,0.7939,0.475442
2,40,[32 64 128 256],20,100,0.816524,0.392774,0.794091,0.409809
3,40,[32 64 128 256],30,100,0.816827,0.35544,0.794127,0.386982
4,40,[32 64 128 256],40,100,0.816898,0.33083,0.79414,0.363024
5,40,[32 64 128 256],50,100,0.86576,0.30848,0.845333,0.353228
6,40,[32 64 128 256],60,100,0.879221,0.29281,0.85411,0.34161
7,40,[32 64 128 256],10,100,0.85109,0.33155,0.852168,0.334902
8,40,[32 64 128 256],20,100,0.87555,0.28317,0.863624,0.310432
9,40,[32 64 128 256],30,100,0.8945,0.24632,0.86699,0.304577
10,40,[32 64 128 256],40,100,0.90675,0.22192,0.87425,0.298038
11,40,[32 64 128 256],50,100,0.91604,0.20234,0.87836,0.29285
12,40,[32 64 128 256],60,100,0.92513,0.18341,0.88014,0.288193
13,40,[32 64 128 256],10,300,0.815204,0.35976,0.794099,0.376563
14,40,[32 64 128 256],20,300,0.87659,0.30223,0.85553,0.340531
15,40,[32 64 128 256],30,300,0.89339,0.27254,0.86902,0.319362
16,40,[32 64 128 256],40,300,0.9058,0.249549,0.88036,0.304685
17,40,[32 64 128 256],50,300,0.913002,0.230249,0.88639,0.293641
18,40,[32 64 128 256],60,300,0.91952,0.214902,0.889594,0.283512
19,40,[32 64 128 256],10,300,0.89288,0.25153,0.863868,0.30956
20,40,[32 64 128 256],20,300,0.91712,0.19935,0.88626,0.27443
21,40,[32 64 128 256],30,300,0.92913,0.17263,0.89572,0.263274
22,40,[32 64 128 256],40,300,0.93696,0.15335,0.89921,0.253586
23,40,[32 64 128 256],50,300,0.94322,0.13825,0.901472,0.252963
24,40,[32 64 128 256],60,300,0.94701,0.12869,0.903418,0.259226
25,40,[48 96 192 384],10,100,0.81998,2.90154,0.794117,3.318446
26,40,[48 96 192 384],20,100,0.81998,2.90154,0.794116,3.318449
27,40,[48 96 192 384],30,100,0.81998,2.90154,0.794116,3.318447
28,40,[48 96 192 384],40,100,0.81998,2.90154,0.794117,3.317429
29,40,[48 96 192 384],50,100,0.81998,2.90154,0.794116,3.318442
30,40,[48 96 192 384],60,100,0.81998,2.90154,0.794116,3.318454
31,40,[48 96 192 384],10,100,0.86183,0.31312,0.854513,0.330975
32,40,[48 96 192 384],20,100,0.886556,0.263047,0.86712,0.31008
33,40,[48 96 192 384],30,100,0.903787,0.227991,0.876903,0.284843
34,40,[48 96 192 384],40,100,0.919058,0.196701,0.884329,0.282365
35,40,[48 96 192 384],50,100,0.929003,0.174083,0.885836,0.281211
36,40,[48 96 192 384],60,100,0.937999,0.153598,0.888914,0.289783
37,40,[48 96 192 384],10,300,0.814173,2.995175,0.794116,3.318454
38,40,[48 96 192 384],20,300,0.814173,2.995175,0.794116,3.318454
39,40,[48 96 192 384],30,300,0.814173,2.995175,0.794116,3.318454
40,40,[48 96 192 384],40,300,0.814173,2.995175,0.794116,3.318454
41,40,[48 96 192 384],50,300,0.814173,2.995175,0.794116,3.318454
42,40,[48 96 192 384],60,300,0.814173,2.995175,0.794116,3.318454
43,40,[48 96 192 384],10,300,0.90224,0.23036,0.87528,0.29355
44,40,[48 96 192 384],20,300,0.928425,0.173708,0.891799,0.266657
45,40,[48 96 192 384],30,300,0.940727,0.144855,0.899925,0.256491
46,40,[48 96 192 384],40,300,0.947915,0.126478,0.9066,0.25485
47,40,[48 96 192 384],50,300,0.953376,0.11235,0.908648,0.25603
48,40,[48 96 192 384],60,300,0.957144,0.10284,0.907429,0.259308
49,40,[64 128 256 512],10,100,0.817687,2.938537,0.794116,3.318454
50,40,[64 128 256 512],20,100,0.817687,2.938537,0.794116,3.318454
51,40,[64 128 256 512],30,100,0.817687,2.938537,0.794116,3.318454
52,40,[64 128 256 512],40,100,0.817687,2.938537,0.794116,3.318454
53,40,[64 128 256 512],50,100,0.817687,2.938537,0.794116,3.318454
54,40,[64 128 256 512],60,100,0.817687,2.938537,0.794116,3.318454
55,40,[64 128 256 512],10,100,0.872587,0.294806,0.85093,0.33483
56,40,[64 128 256 512],20,100,0.903789,0.229429,0.874718,0.286833
57,40,[64 128 256 512],30,100,0.921155,0.190882,0.891882,0.255811
58,40,[64 128 256 512],40,100,0.932515,0.165094,0.897133,0.251366
59,40,[64 128 256 512],50,100,0.941174,0.145202,0.898279,0.261168
60,40,[64 128 256 512],60,100,0.945556,0.133328,0.898166,0.27031
61,40,[64 128 256 512],10,300,0.81481,2.98489,0.794116,3.318454
62,40,[64 128 256 512],20,300,0.81481,2.98489,0.794116,3.318454
63,40,[64 128 256 512],30,300,0.81481,2.98489,0.794116,3.318454
64,40,[64 128 256 512],40,300,0.81481,2.98489,0.794116,3.318454
65,40,[64 128 256 512],50,300,0.81481,2.98489,0.794116,3.318454
66,40,[64 128 256 512],60,300,0.81481,2.98489,0.794116,3.318454
67,40,[64 128 256 512],10,300,0.91031,0.21427,0.884984,0.267013
68,40,[64 128 256 512],20,300,0.93398,0.16117,0.905873,0.241758
69,40,[64 128 256 512],30,300,0.94619,0.13097,0.911216,0.246463
70,40,[64 128 256 512],40,300,0.95336,0.11256,0.91012,0.240972
71,40,[64 128 256 512],50,300,0.95819,0.09981,0.91253,0.246136
72,40,[64 128 256 512],60,300,0.96207,0.09036,0.914062,0.254905
73,40,[80 160 320 640],10,100,0.815007,2.98173,0.794116,3.318454
74,40,[80 160 320 640],20,100,0.815007,2.98173,0.794116,3.318454
75,40,[80 160 320 640],30,100,0.815007,2.98173,0.794116,3.318454
76,40,[80 160 320 640],40,100,0.815007,2.98173,0.794116,3.318454
77,40,[80 160 320 640],50,100,0.815007,2.98173,0.794116,3.318454
78,40,[80 160 320 640],60,100,0.815007,2.98173,0.794116,3.318454
79,40,[80 160 320 640],10,100,0.875491,0.290277,0.858242,0.323899
80,40,[80 160 320 640],20,100,0.9054,0.225275,0.875512,0.285279
81,40,[80 160 320 640],30,100,0.924162,0.185195,0.886108,0.270479
82,40,[80 160 320 640],40,100,0.936018,0.157013,0.888734,0.266451
83,40,[80 160 320 640],50,100,0.945135,0.134897,0.894157,0.273393
84,40,[80 160 320 640],60,100,0.951355,0.118979,0.894443,0.286146
85,40,[80 160 320 640],10,300,0.81204,3.02946,0.794116,3.318454
86,40,[80 160 320 640],20,300,0.81204,3.02946,0.794116,3.318454
87,40,[80 160 320 640],30,300,0.81204,3.02946,0.794116,3.318454
88,40,[80 160 320 640],40,300,0.81204,3.02946,0.794116,3.318454
89,40,[80 160 320 640],50,300,0.81204,3.02946,0.794116,3.318454
90,40,[80 160 320 640],60,300,0.81204,3.02946,0.794116,3.318454
91,40,[80 160 320 640],10,300,0.91034,0.214568,0.88637,0.274261
92,40,[80 160 320 640],20,300,0.937951,0.152242,0.907556,0.236285
93,40,[80 160 320 640],30,300,0.949394,0.123738,0.90931,0.241418
94,40,[80 160 320 640],40,300,0.956843,0.104099,0.916779,0.235724
95,40,[80 160 320 640],50,300,0.961839,0.091081,0.916052,0.236991
96,40,[80 160 320 640],60,300,0.966147,0.080593,0.917879,0.236851
97,80,[32 64 128 256],10,100,0.818126,2.930957,0.794111,3.318045
98,80,[32 64 128 256],20,100,0.81813,2.930895,0.794113,3.317709
99,80,[32 64 128 256],30,100,0.81763,0.48793,0.794116,0.509739
100,80,[32 64 128 256],40,100,0.81743,0.4057,0.79427,0.401911
101,80,[32 64 128 256],50,100,0.818088,0.33373,0.79474,0.371409
102,80,[32 64 128 256],60,100,0.87963,0.29469,0.854235,0.33541
103,80,[32 64 128 256],10,100,0.87807,0.2846,0.85618,0.325711
104,80,[32 64 128 256],20,100,0.9031,0.22978,0.871927,0.293947
105,80,[32 64 128 256],30,100,0.9176,0.19695,0.885564,0.271534
106,80,[32 64 128 256],40,100,0.92812,0.17338,0.892993,0.257349
107,80,[32 64 128 256],50,100,0.9361,0.15511,0.895603,0.256627
108,80,[32 64 128 256],60,100,0.94265,0.13974,0.898485,0.260903
109,80,[32 64 128 256],10,300,0.813873,2.999966,0.794116,3.247215
110,80,[32 64 128 256],20,300,0.83623,0.335471,0.818286,0.371558
111,80,[32 64 128 256],30,300,0.894537,0.23834,0.86557,0.30691
112,80,[32 64 128 256],40,300,0.911643,0.205475,0.88381,0.277771
113,80,[32 64 128 256],50,300,0.924555,0.179824,0.894991,0.257316
114,80,[32 64 128 256],60,300,0.933475,0.158767,0.90261,0.250055
115,80,[32 64 128 256],10,300,0.90778,0.22041,0.886344,0.266716
116,80,[32 64 128 256],20,300,0.932773,0.164561,0.902632,0.245652
117,80,[32 64 128 256],30,300,0.944141,0.136293,0.914507,0.227912
118,80,[32 64 128 256],40,300,0.950092,0.120399,0.91633,0.231434
119,80,[32 64 128 256],50,300,0.955178,0.107644,0.918659,0.223364
120,80,[32 64 128 256],60,300,0.958832,0.097912,0.921253,0.223248
121,80,[48 96 192 384],10,100,0.821253,2.880679,0.794116,3.318051
122,80,[48 96 192 384],20,100,0.821245,2.880558,0.794115,3.317291
123,80,[48 96 192 384],30,100,0.821264,2.880889,0.794116,3.297499
124,80,[48 96 192 384],40,100,0.821264,2.880889,0.794116,3.318454
125,80,[48 96 192 384],50,100,0.821264,2.880889,0.794116,3.318454
126,80,[48 96 192 384],60,100,0.821264,2.880889,0.794116,3.318454
127,80,[48 96 192 384],10,100,0.87697,0.28405,0.86759,0.316552
128,80,[48 96 192 384],20,100,0.910072,0.218096,0.886807,0.27107
129,80,[48 96 192 384],30,100,0.927394,0.179072,0.891129,0.25825
130,80,[48 96 192 384],40,100,0.941762,0.14497,0.900671,0.243991
131,80,[48 96 192 384],50,100,0.95046,0.123435,0.902914,0.243683
132,80,[48 96 192 384],60,100,0.95503,0.111967,0.907816,0.252098
133,80,[48 96 192 384],10,300,0.812188,3.027175,0.794116,3.318454
134,80,[48 96 192 384],20,300,0.812188,3.027175,0.794116,3.318454
135,80,[48 96 192 384],30,300,0.812188,3.027175,0.794116,3.318454
136,80,[48 96 192 384],40,300,0.812188,3.027175,0.794116,3.318454
137,80,[48 96 192 384],50,300,0.812188,3.027175,0.794116,3.318454
138,80,[48 96 192 384],60,300,0.812188,3.027175,0.794116,3.318454
139,80,[48 96 192 384],10,300,0.91585,0.20097,0.891079,0.258982
140,80,[48 96 192 384],20,300,0.94028,0.14604,0.911086,0.230966
141,80,[48 96 192 384],30,300,0.95127,0.117958,0.911158,0.230674
142,80,[48 96 192 384],40,300,0.9575,0.10143,0.915574,0.229112
143,80,[48 96 192 384],50,300,0.96193,0.08998,0.920296,0.219939
144,80,[48 96 192 384],60,300,0.965585,0.081275,0.92154,0.230954
145,80,[64 128 256 512],10,100,0.817262,2.945393,0.794116,3.318454
146,80,[64 128 256 512],20,100,0.817262,2.945393,0.794116,3.318454
147,80,[64 128 256 512],30,100,0.817262,2.945393,0.794116,3.318454
148,80,[64 128 256 512],40,100,0.817262,2.945393,0.794116,3.318454
149,80,[64 128 256 512],50,100,0.817262,2.945393,0.794116,3.318454
150,80,[64 128 256 512],60,100,0.817262,2.945393,0.794116,3.318454
151,80,[64 128 256 512],10,100,0.87747,0.28311,0.859767,0.314304
152,80,[64 128 256 512],20,100,0.90856,0.220965,0.889854,0.268275
153,80,[64 128 256 512],30,100,0.927431,0.17948,0.902096,0.242029
154,80,[64 128 256 512],40,100,0.938623,0.1488,0.904613,0.23768
155,80,[64 128 256 512],50,100,0.947902,0.127089,0.909042,0.230389
156,80,[64 128 256 512],60,100,0.95465,0.10975,0.90871,0.243779
157,80,[64 128 256 512],10,300,0.817416,2.942901,0.794116,3.318454
158,80,[64 128 256 512],20,300,0.817416,2.942901,0.794116,3.318454
159,80,[64 128 256 512],30,300,0.817416,2.942901,0.794116,3.318454
160,80,[64 128 256 512],40,300,0.817416,2.942901,0.794116,3.318454
161,80,[64 128 256 512],50,300,0.817416,2.942901,0.794116,3.318454
162,80,[64 128 256 512],60,300,0.817416,2.942901,0.794116,3.318454
163,80,[64 128 256 512],10,300,0.92497,0.18078,0.893167,0.246355
164,80,[64 128 256 512],20,300,0.94659,0.12994,0.914221,0.223654
165,80,[64 128 256 512],30,300,0.95533,0.10744,0.91749,0.205982
166,80,[64 128 256 512],40,300,0.961561,0.09156,0.92306,0.222976
167,80,[64 128 256 512],50,300,0.966273,0.079809,0.925875,0.241117
168,80,[64 128 256 512],60,300,0.970058,0.070587,0.926209,0.219123
169,80,[80 160 320 640],10,100,0.81564,2.97144,0.794116,3.318454
170,80,[80 160 320 640],20,100,0.816596,2.95612,0.794116,3.318454
171,80,[80 160 320 640],30,100,0.816596,2.95612,0.794116,3.318454
172,80,[80 160 320 640],40,100,0.816596,2.95612,0.794116,3.318454
173,80,[80 160 320 640],50,100,0.816596,2.95612,0.794116,3.318454
174,80,[80 160 320 640],60,100,0.816596,2.95612,0.794116,3.318454
175,80,[80 160 320 640],10,100,0.883977,0.275622,0.86728,0.298213
176,80,[80 160 320 640],20,100,0.917934,0.202126,0.88986,0.253001
177,80,[80 160 320 640],30,100,0.934776,0.162547,0.903956,0.241567
178,80,[80 160 320 640],40,100,0.94798,0.131547,0.908363,0.234717
179,80,[80 160 320 640],50,100,0.954996,0.111225,0.911118,0.230526
180,80,[80 160 320 640],60,100,0.959191,0.099645,0.910877,0.23552
181,80,[80 160 320 640],10,300,0.811066,3.045253,0.794116,3.318454
182,80,[80 160 320 640],20,300,0.811066,3.045253,0.794116,3.318454
183,80,[80 160 320 640],30,300,0.811066,3.045253,0.794116,3.318454
184,80,[80 160 320 640],40,300,0.811066,3.045253,0.794116,3.318454
185,80,[80 160 320 640],50,300,0.811066,3.045253,0.794116,3.318454
186,80,[80 160 320 640],60,300,0.811066,3.045253,0.794116,3.318454
187,80,[80 160 320 640],10,300,0.92861,0.17316,0.89864,0.233072
188,80,[80 160 320 640],20,300,0.948331,0.124855,0.910488,0.220094
189,80,[80 160 320 640],30,300,0.959723,0.096161,0.920454,0.211179
190,80,[80 160 320 640],40,300,0.965425,0.081663,0.920755,0.213062
191,80,[80 160 320 640],50,300,0.969185,0.072523,0.92277,0.229135
192,80,[80 160 320 640],60,300,0.9715,0.06658,0.92473,0.228995
193,200,[32 64 128 256],10,300,0.913593,0.208108,0.90069,0.244968
194,200,[32 64 128 256],40,300,0.959258,0.097578,0.922399,0.202725
195,200,[32 64 128 256],50,300,0.963577,0.086513,0.923632,0.211054
196,200,[32 64 128 256],60,300,0.966716,0.078486,0.927267,0.208873
197,200,[64 128 256 512],10,300,0.93359,0.16019,0.91266,0.233022
198,200,[64 128 256 512],20,300,0.95597,0.10661,0.9225,0.212983
199,200,[64 128 256 512],30,300,0.96439,0.0843,0.926848,0.210557
200,200,[64 128 256 512],40,300,0.96836,0.0749,0.928681,0.208462
201,200,[64 128 256 512],50,300,0.97343,0.06247,0.933595,0.201741
202,200,[64 128 256 512],60,300,0.975653,0.056969,0.935,0.211
203,200,[64 128 256 512],10,300,0.93257,0.16622,0.909404,0.218941
204,200,[32 64 128 256],20,300,0.938853,0.149798,0.91652,0.21816
205,200,[64 128 256 512],20,300,0.95218,0.11642,0.92369,0.192572
206,200,[64 128 256 512],30,300,0.963268,0.087544,0.926802,0.186095
207,200,[64 128 256 512],40,300,0.969336,0.071998,0.928517,0.199097
208,200,[64 128 256 512],50,300,0.972959,0.063519,0.931171,0.222821
209,200,[64 128 256 512],60,300,0.975872,0.056835,0.932765,0.233336
210,400,[32 64 128 256],10,300,0.92386,0.18741,0.887631,0.265888
211,400,[32 64 128 256],20,300,0.94339,0.13869,0.913168,0.21492
212,400,[32 64 128 256],30,300,0.953684,0.113135,0.919689,0.205043
213,400,[32 64 128 256],40,300,0.959844,0.095854,0.925124,0.196838
214,400,[32 64 128 256],50,300,0.964357,0.084519,0.92974,0.194469
215,200,[32 64 128 256],30,300,0.950744,0.120671,0.92179,0.20458
216,400,[32 64 128 256],60,300,0.967677,0.07567,0.930462,0.197546
217,400,[32 64 128 256],10,300,0.91883,0.19676,0.89896,0.244246
218,400,[32 64 128 256],20,300,0.942725,0.141686,0.91553,0.211611
219,400,[32 64 128 256],30,300,0.952471,0.115934,0.9237,0.19779
220,400,[32 64 128 256],40,300,0.958229,0.100176,0.92788,0.202653
221,400,[32 64 128 256],50,300,0.962538,0.088407,0.92741,0.22041
222,400,[32 64 128 256],60,300,0.966011,0.079582,0.92816,0.214832
223,400,[64 128 256 512],10,300,0.93421,0.15888,0.909302,0.226393
224,400,[64 128 256 512],20,300,0.956037,0.10668,0.927803,0.18394
225,400,[64 128 256 512],30,300,0.965656,0.081481,0.929009,0.189815
226,200,[32 64 128 256],40,300,0.957784,0.102269,0.92785,0.202255
227,400,[64 128 256 512],40,300,0.97034,0.069457,0.934626,0.183201
228,400,[64 128 256 512],50,300,0.974662,0.058838,0.936175,0.205056
229,400,[64 128 256 512],60,300,0.977781,0.0518,0.935984,0.217609
230,400,[64 128 256 512],10,300,0.93673,0.15416,0.908598,0.225016
231,400,[64 128 256 512],20,300,0.95615,0.10494,0.925326,0.190336
232,400,[64 128 256 512],30,300,0.96526,0.0823,0.932276,0.189437
233,400,[64 128 256 512],40,300,0.970183,0.069616,0.933164,0.205191
234,400,[64 128 256 512],50,300,0.973736,0.061173,0.935953,0.209287
235,400,[64 128 256 512],60,300,0.97731,0.05275,0.936774,0.210819
236,200,[32 64 128 256],50,300,0.962325,0.090521,0.924348,0.201137
237,200,[32 64 128 256],60,300,0.965549,0.081846,0.927257,0.205584
238,200,[32 64 128 256],10,300,0.92194,0.1915,0.89708,0.247664
239,200,[32 64 128 256],20,300,0.94219,0.140956,0.910254,0.22881
240,200,[32 64 128 256],30,300,0.953424,0.112964,0.917513,0.21328
241,200,[64 128 256 512],10,300,0.932792,0.17649,0.90356,0.234266
242,200,[64 128 256 512],20,300,0.954513,0.11552,0.920271,0.19953
243,200,[64 128 256 512],30,300,0.964157,0.08781,0.928341,0.200356
244,200,[64 128 256 512],40,300,0.971187,0.069115,0.929879,0.207974
245,200,[64 128 256 512],50,300,0.975466,0.058223,0.928672,0.226404
246,200,[64 128 256 512],60,300,0.978143,0.051913,0.93118,0.218169
247,200,[64 128 256 512],70,300,0.98053,0.046085,0.93195,0.236297
248,200,[64 128 256 512],80,300,0.983299,0.039359,0.932089,0.26367
249,200,[64 128 256 512],90,300,0.984607,0.036154,0.931527,0.275421
250,200,[128 256 512 1024],10,300,0.93269,0.17001,0.91597,0.213708
251,200,[128 256 512 1024],20,300,0.957232,0.105714,0.92703,0.187344
252,200,[128 256 512 1024],30,300,0.96745,0.07817,0.931557,0.191091
253,200,[128 256 512 1024],40,300,0.9737,0.06233,0.932096,0.209179
254,200,[128 256 512 1024],50,300,0.97893,0.04966,0.93433,0.201433
255,200,[128 256 512 1024],60,300,0.982642,0.041216,0.9349,0.220406
256,200,[128 256 512 1024],70,300,0.985186,0.034816,0.93594,0.247506
257,200,[128 256 512 1024],80,300,0.987123,0.03013,0.937292,0.248885
258,200,[128 256 512 1024],90,300,0.988684,0.02651,0.937468,0.284385
259,400,[64 128 256 512],10,300,0.93721,0.1649,0.90764,0.223068
260,400,[64 128 256 512],20,300,0.95918,0.10215,0.91956,0.19572
261,400,[64 128 256 512],30,300,0.9679,0.07718,0.927376,0.199328
262,400,[64 128 256 512],40,300,0.97364,0.06256,0.931483,0.201249
263,400,[64 128 256 512],50,300,0.97765,0.05271,0.933281,0.21319
264,400,[64 128 256 512],60,300,0.98086,0.04484,0.933593,0.238744
265,400,[64 128 256 512],70,300,0.9833,0.03903,0.932902,0.249705
266,400,[64 128 256 512],80,300,0.98552,0.03387,0.934806,0.259665
267,400,[64 128 256 512],90,300,0.98696,0.03048,0.934519,0.268871
268,400,[128 256 512 1024],10,300,0.93786,0.15608,0.90804,0.220995
269,400,[128 256 512 1024],20,300,0.95783,0.10326,0.92625,0.192981
270,400,[128 256 512 1024],30,300,0.968402,0.07683,0.93063,0.196788
271,400,[128 256 512 1024],40,300,0.975252,0.059108,0.934116,0.179406
272,400,[128 256 512 1024],50,300,0.979797,0.047774,0.934007,0.198788
273,400,[128 256 512 1024],60,300,0.983171,0.03958,0.936,0.221449
274,400,[128 256 512 1024],70,300,0.985836,0.033086,0.938906,0.216854
275,400,[128 256 512 1024],80,300,0.987882,0.028304,0.938015,0.227083
276,400,[128 256 512 1024],90,300,0.98897,0.02572,0.93881,0.254985
277,400,[128 256 512 1024],10,300,0.92384,0.19302,0.90174,0.24478,leaky

278,400,[128 256 512 1024],20,300,0.94321,0.14107,0.913903,0.20927,leaky

279,400,[128 256 512 1024],30,300,0.9546,0.11192,0.92263,0.1944,leaky

280,400,[128 256 512 1024],40,300,0.96172,0.0925,0.92894,0.18145,leaky

281,400,[128 256 512 1024],50,300,0.96643,0.07983,0.932274,0.18176,leaky

282,400,[128 256 512 1024],60,300,0.9694,0.07199,0.933,0.187652,leaky

283,400,[128 256 512 1024],70,300,0.971979,0.066261,0.934663,0.186194,leaky

284,400,[128 256 512 1024],80,300,0.97454,0.05957,0.934407,0.193867,leaky

285,400,[128 256 512 1024],90,300,0.976982,0.053936,0.935786,0.198943,leaky

286,400,[128 256 512 1024],100,300,0.978953,0.049162,0.934357,0.204833,leaky

287,400,[128 256 512 1024],10,400,0.94814,0.13402,0.91934,0.19548,relu,True

288,400,[128 256 512 1024],20,400,0.96495,0.08887,0.93335,0.175372,relu,True

289,400,[128 256 512 1024],30,400,0.97394,0.0644,0.941014,0.174954,relu,True

290,400,[128 256 512 1024],40,400,0.97779,0.05454,0.941842,0.18577,relu,True

291,400,[128 256 512 1024],50,400,0.981962,0.043952,0.942965,0.18036,relu,True

292,400,[128 256 512 1024],60,400,0.983532,0.039861,0.941424,0.182124,relu,True

293,400,[128 256 512 1024],70,400,0.986513,0.032926,0.943741,0.192828,relu,True

294,400,[128 256 512 1024],80,400,0.988626,0.027887,0.94626,0.203138,relu,True

295,400,[128 256 512 1024],90,400,0.988948,0.027418,0.94544,0.220909,relu,True

296,400,[128 256 512 1024],100,400,0.990254,0.024178,0.947647,0.21017,relu,True

297,400,[128 256 512 1024],10,1000,0.95908,0.10226,0.93106,0.164103,relu,True

298,400,[128 256 512 1024],20,1000,0.97538,0.06068,0.94771,0.148684,relu,True

299,400,[128 256 512 1024],30,1000,0.98277,0.04214,0.945315,0.16541,relu,True

300,400,[128 256 512 1024],40,1000,0.9877,0.0302,0.942374,0.191989,relu,True

301,400,[128 256 512 1024],50,1000,0.99001,0.024602,0.946227,0.185547,relu,True

302,400,[128 256 512 1024],60,1000,0.99194,0.01974,0.947156,0.191133,relu,True

303,400,[128 256 512 1024],70,1000,0.99315,0.01664,0.94644,0.215004,relu,True

304,400,[128 256 512 1024],80,1000,0.993944,0.014844,0.944289,0.222367,relu,True

305,400,[128 256 512 1024],10,1000,0.94849,0.12879,0.93195,0.16232,relu,True

306,400,[128 256 512 1024],20,1000,0.96452,0.08731,0.944881,0.135399,relu,True

307,400,[128 256 512 1024],30,1000,0.97168,0.06973,0.941608,0.139875,relu,True

308,400,[128 256 512 1024],40,1000,0.976262,0.057836,0.941589,0.147161,relu,True

309,400,[128 256 512 1024],50,1000,0.979764,0.049237,0.943499,0.146063,relu,True

310,400,[128 256 512 1024],60,1000,0.981584,0.046294,0.946691,0.139446,relu,True

311,400,[128 256 512 1024],70,1000,0.983619,0.040016,0.944905,0.153919,relu,True

312,400,[128 256 512 1024],80,1000,0.986275,0.033199,0.942842,0.153316,relu,True

313,400,[64 128 256 512 1024],10,1000,0.94603,0.1373,0.92797,0.16765,relu,True

314,400,[64 128 256 512 1024],20,1000,0.95824,0.1021,0.941978,0.142497,relu,True

315,400,[64 128 256 512 1024],30,1000,0.965444,0.084739,0.951069,0.121167,relu,True

316,400,[64 128 256 512 1024],40,1000,0.97126,0.07106,0.950685,0.122715,relu,True

317,400,[64 128 256 512 1024],50,1000,0.973869,0.063907,0.9494,0.12836,relu,True

318,400,[64 128 256 512 1024],60,1000,0.978098,0.053254,0.94894,0.12218,relu,True

319,400,[64 128 256 512 1024],70,1000,0.979654,0.049603,0.949461,0.121784,relu,True

320,400,[64 128 256 512 1024],80,1000,0.981586,0.044597,0.948493,0.136644,relu,True

321,400,[64 128 256 512 1024],90,1000,0.98263,0.042004,0.950479,0.133246,relu,True

322,400,[64 128 256 512 1024],100,1000,0.98398,0.03851,0.949022,0.136862,relu,True

323,400,[256 512 1024 2048],10,1000,0.948288,0.13043,0.916231,0.210995,relu,True

324,400,[64 128 256 512 1024],10,1000,0.983911,0.038966,0.950638,0.139379,relu,True

325,400,[64 128 256 512 1024],20,1000,0.984573,0.0372,0.950719,0.140528,relu,True

326,400,[64 128 256 512 1024],30,1000,0.985553,0.034443,0.9454,0.161733,relu,True

327,400,[64 128 256 512 1024],40,1000,0.986258,0.033284,0.949281,0.153775,relu,True

328,400,[64 128 256 512 1024],50,1000,0.98721,0.03071,0.95095,0.150721,relu,True

329,400,[64 128 256 512 1024],60,1000,0.987433,0.030188,0.947438,0.145037,relu,True

330,400,[64 128 256 512 1024],70,1000,0.98806,0.02846,0.94825,0.148343,relu,True

331,400,[64 128 256 512 1024],80,1000,0.988766,0.026845,0.945463,0.1521,relu,True

332,400,[64 128 256 512 1024],90,1000,0.988642,0.02705,0.950106,0.145387,relu,True

333,400,[64 128 256 512 1024],100,1000,0.98915,0.02574,0.948031,0.156349,relu,True

334,400,[64 128 256 512 1024],110,1000,0.9895,0.025,0.950113,0.153933,relu,True

335,400,[64 128 256 512 1024],120,1000,0.989972,0.024088,0.950744,0.137292,relu,True

336,400,[64 128 256 512 1024],130,1000,0.990124,0.023525,0.951656,0.160187,relu,True

337,400,[64 128 256 512 1024],140,1000,0.990314,0.023212,0.950175,0.162781,relu,True

338,400,[64 128 256 512 1024],150,1000,0.990746,0.022099,0.949612,0.159313,relu,True

339,400,[64 128 256 512 1024],160,1000,0.99077,0.02209,0.948794,0.170011,relu,True

340,400,[64 128 256 512 1024],170,1000,0.991087,0.021195,0.947806,0.153263,relu,True

341,400,[64 128 256 512 1024],180,1000,0.990834,0.021916,0.94695,0.174105,relu,True

342,400,[64 128 256 512 1024],190,1000,0.991256,0.020944,0.954194,0.168388,relu,True

343,400,[64 128 256 512 1024],200,1000,0.991508,0.020491,0.949238,0.155753,relu,True

344,400,[64 128 256 512 1024],10,1000,0.99698,0.00871,0.9109,0.31209,relu,True

